id,filtered_words_array,features,label_index
R129,"['camera', 'environment', 'movie', 'girl', 'tonight', 'second', 'service', 'just.', 'fear', 'sit', 'early', 'however', 'true', 'join', 'media.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[911,1029,1439,1457,1650,2252,2407,3248,3389,3556,3614,4092,4506,4687,6946,7188,8952,9256,9462,9513],[4.270695952029551,4.137164559405029,4.019381523748645,5.117993812416755,4.019381523748645,4.42484663185681,4.607168188650764,5.117993812416755,4.019381523748645,2.8844015909096608,0.667530016189645,4.42484663185681,0.691153161953081,0.691153161953081,4.019381523748645,4.42484663185681,4.137164559405029,4.270695952029551,0.691153161953081,3.577548771469606])",1.0
R227,"['either', 'something', 'include', 'pretty.', 'report', 'form', 'huge', 'interesting', 'line', 'majority.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[821,1182,2059,2198,2953,3614,3634,3709,4506,4687,5621,6505,9126,9324,9462,9826],[2.849310271098391,4.607168188650764,2.60568818844064,3.914021008090819,3.914021008090819,0.667530016189645,3.8187108282864943,4.830311739964974,0.691153161953081,0.691153161953081,4.42484663185681,4.607168188650764,4.42484663185681,4.830311739964974,0.691153161953081,3.8187108282864943])",1.0
F231,"['trade', 'successful', 'real', 'service', 'if.', 'allow', 'camera', 'together', 'keep', 'group', 'like.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[419,503,650,1650,2252,4835,5659,5850,6259,7281,7766,7936,8312,8338,9190,9594,9691],[4.42484663185681,0.691153161953081,2.958509563063383,4.019381523748645,4.42484663185681,4.137164559405029,3.914021008090819,0.691153161953081,5.117993812416755,0.6753425559264385,4.607168188650764,0.691153161953081,4.137164559405029,0.691153161953081,5.117993812416755,4.137164559405029,4.42484663185681])",0.0
R066,"['teach', 'five', 'story', 'process', 'trial', 'article.', 'company', 'factor', 'store', 'relationship', 'message', 'time', 'raise.', 'democrat', 'reveal', 'hold', 'finally', 'economic', 'help', 'church.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[942,1507,1817,2389,2715,3410,3614,4260,4506,4687,5234,5974,6340,6855,6944,7184,7593,8040,8094,8157,8522,9144,9347,9462,9561],[4.019381523748645,3.6516567436233283,4.607168188650764,4.42484663185681,4.270695952029551,4.019381523748645,0.667530016189645,4.137164559405029,0.691153161953081,0.691153161953081,4.019381523748645,3.7316994512968646,5.117993812416755,4.270695952029551,2.8154087194227095,4.137164559405029,5.523458920524919,3.6516567436233283,4.830311739964974,4.42484663185681,4.270695952029551,2.7508701982851385,4.137164559405029,0.691153161953081,4.42484663185681])",1.0
F095,"['appear', 'give', 'everybody', 'age', 'light', 'sort.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,1208,1720,2561,3184,3783,5850,7281,7936,8182,8338,8791,9311],[0.691153161953081,2.7826188965997183,4.42484663185681,3.8187108282864943,2.7508701982851385,4.607168188650764,0.691153161953081,0.6753425559264385,0.691153161953081,3.8187108282864943,0.691153161953081,4.019381523748645,4.607168188650764])",0.0
R174,"['agency', 'agency', 'develop', 'decade', 'role', 'it.', 'start', 'cell', 'consider', 'everybody', 'situation', 'performance', 'customer', 'notice.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[312,765,1241,1413,2561,2996,3136,3210,3350,3614,4506,4687,6030,6944,7366,7805,9351,9462],[4.270695952029551,8.541391904059102,3.4440173788450834,3.914021008090819,3.8187108282864943,4.42484663185681,4.42484663185681,3.8187108282864943,4.270695952029551,0.667530016189645,0.691153161953081,0.691153161953081,4.270695952029551,2.8154087194227095,5.523458920524919,4.830311739964974,4.42484663185681,0.691153161953081])",1.0
R201,"['return', 'space', 'number', 'live', 'happy', 'project', 'relate.', 'director', 'change', 'growth', 'father', 'answer.', 'future', 'inside', 'detail', 'light', 'small', 'speak.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[222,320,387,493,635,1143,1720,1770,1800,1853,2086,2230,3614,4506,4687,5347,5750,6219,6488,7848,8519,9066,9188,9462],[4.270695952029551,3.8187108282864943,4.137164559405029,4.019381523748645,3.914021008090819,4.270695952029551,4.42484663185681,2.8844015909096608,4.137164559405029,4.270695952029551,4.830311739964974,4.42484663185681,0.667530016189645,0.691153161953081,0.691153161953081,4.137164559405029,5.523458920524919,3.172083663361442,4.270695952029551,5.117993812416755,3.914021008090819,4.019381523748645,4.42484663185681,0.691153161953081])",1.0
R072,"['light', 'represent', 'check', 'manager', 'us', 'decade', 'attorney', 'happen.', 'large', 'idea', 'much', 'style', 'surface', 'bar.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[524,1652,1720,1811,3614,3901,4506,4687,4853,5047,5958,6030,6235,6660,7022,7281,8000,8717,9462],[3.7316994512968646,4.137164559405029,4.42484663185681,5.117993812416755,0.667530016189645,4.270695952029551,0.691153161953081,0.691153161953081,3.6516567436233283,2.6902455764687034,4.137164559405029,4.270695952029551,5.117993812416755,4.270695952029551,4.42484663185681,0.6753425559264385,3.8187108282864943,4.42484663185681,0.691153161953081])",1.0
R064,"['need', 'ground', 'step', 'bill', 'west', 'various', 'hold.', 'reveal', 'last', 'television', 'kid', 'animal', 'leave.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[23,1507,1558,1769,3614,3723,3989,4506,4687,5085,6487,6537,6647,7066,7360,8135,8713,9462],[5.117993812416755,3.6516567436233283,4.019381523748645,4.830311739964974,0.667530016189645,4.42484663185681,4.270695952029551,0.691153161953081,0.691153161953081,3.5085558999826545,3.5085558999826545,4.019381523748645,4.270695952029551,2.7826188965997183,4.607168188650764,4.270695952029551,4.607168188650764,0.691153161953081])",1.0
F037,"['arm', 'public', 'pay', 'effect', 'happen', 'main.', 'reduce', 'music', 'spring', 'possible', 'consumer', 'cultural.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,1256,1644,1770,3984,4704,4897,5850,6100,6324,6370,7281,7860,7936,8159,8338,8471,9475,9668],[0.691153161953081,3.125563647726549,4.607168188650764,2.8844015909096608,4.019381523748645,3.8187108282864943,4.42484663185681,0.691153161953081,4.270695952029551,4.270695952029551,3.914021008090819,0.6753425559264385,2.7826188965997183,0.691153161953081,3.4440173788450834,0.691153161953081,5.117993812416755,4.270695952029551,5.523458920524919])",0.0
